A;B;A;B;A;B;A;B;;;;
32764243;16;27390972;13;32.76424313;15.56;27.39097216;12.81;;;31.300000;14.71
33179161;16;27412064;13;33.17916064;15.56;27.41206382;12.81;;;31.400000;14.71
33179283;16;27413714;13;33.17928267;15.57;27.41371442;12.83;;;31.400000;14.72
33200595;16;27414823;13;33.20059493;15.57;27.41482253;12.84;;;31.700000;14.73
33202048;16;27415654;13;33.20204797;15.58;27.41565385;12.88;;;31.700000;14.74
33715560;16;27623893;13;33.71556005;15.6;27.62389273;12.88;;;31.700000;14.74
33715877;16;27641697;13;33.71587745;15.6;27.64169674;12.88;;;31.700000;14.75
33787463;16;27817590;13;33.78746323;15.61;27.81758977;12.88;;;31.700000;14.75
33791180;16;27990121;13;33.79118012;15.61;27.99012051;12.88;;;31.800000;14.77
33791238;16;27995795;13;33.79123816;15.61;27.99579455;12.88;;;31.800000;14.77
33793246;16;28054388;13;33.79324593;15.63;28.05438798;12.88;;;31.800000;14.77
33793456;16;28296399;13;33.79345557;15.63;28.29639873;12.89;;;32.200000;14.78
33796385;16;29045243;13;33.79638513;15.63;29.04524293;12.89;;;32.300000;14.78
33796425;16;29114611;13;33.79642536;15.66;29.11461104;12.89;;;32.300000;14.79
33891237;16;30300054;13;33.89123685;15.66;30.30005439;12.89;;;32.300000;14.79
33955113;16;30364892;13;33.95511271;15.68;30.36489227;12.89;;;32.400000;14.80
33956343;16;30601512;13;33.95634288;15.68;30.60151198;12.89;;;32.400000;14.81
33961301;16;30668190;13;33.96130106;15.69;30.66818969;12.89;;;32.400000;14.82
33961439;16;30725198;13;33.96143897;15.7;30.72519778;12.89;;;32.400000;14.83
33967217;16;31094203;13;33.96721671;15.72;31.09420302;12.89;;;32.500000;14.84
33967224;16;31640963;13;33.96722401;15.73;31.6409632;12.9;;;32.700000;14.84
34335722;16;31641686;13;34.33572227;15.73;31.64168589;12.9;;;32.700000;14.85
34335746;16;31722069;13;34.33574572;15.73;31.72206864;12.9;;;33.100000;14.86
34344123;16;31803716;13;34.34412309;15.74;31.80371644;12.9;;;33.100000;14.87
34447666;16;31994300;13;34.44766611;15.75;31.99430025;12.9;;;33.100000;14.88
34561943;16;32078781;13;34.56194336;15.75;32.07878084;12.9;;;33.200000;14.88
34563819;16;32078884;13;34.56381853;15.76;32.07888375;12.9;;;33.300000;14.89
34590924;16;32131215;13;34.59092444;15.77;32.13121537;12.9;;;33.300000;14.90
34591009;16;32252238;13;34.59100918;15.77;32.25223837;12.9;;;33.300000;14.90
34591387;16;32310566;13;34.59138665;15.77;32.31056601;12.9;;;33.300000;14.90
34591455;16;32339306;13;34.59145544;15.77;32.33930611;12.9;;;33.300000;14.90
35112221;16;32443450;13;35.11222132;15.78;32.44344965;12.91;;;33.300000;14.90
35112706;16;32457819;13;35.11270638;15.78;32.4578193;12.92;;;33.400000;14.91
35112925;16;32460214;13;35.11292494;15.79;32.46021443;12.93;;;33.400000;14.91
35113041;16;32478881;13;35.11304147;15.79;32.47888071;12.94;;;33.500000;14.92
35200708;16;32481031;13;35.20070767;15.8;32.48103087;12.96;;;33.500000;14.93
35229281;16;32485403;13;35.22928061;15.8;32.48540294;12.97;;;33.900000;14.94
35231378;16;32495913;13;35.23137791;15.81;32.49591346;12.99;;;33.900000;14.94
35286989;16;32533412;13;35.28698948;15.82;32.53341247;13;;;33.900000;14.95
35295894;16;32609744;13;35.29589386;15.83;32.6097438;13;;;33.900000;14.95
35295938;16;32614574;13;35.29593789;15.83;32.6145743;13;;;33.900000;14.97
35296135;16;32719692;13;35.29613524;15.84;32.71969192;13;;;34.000000;14.97
35296227;16;32727678;13;35.29622689;15.84;32.72767849;13;;;34.000000;14.98
35296255;16;33250570;13;35.29625482;15.85;33.2505697;13;;;34.100000;14.98
35296268;16;33783744;13;35.29626782;15.86;33.78374406;13;;;34.100000;14.99
35299382;16;33837002;13;35.29938234;15.87;33.8370021;13;;;34.100000;15.00
35299628;16;33972868;13;35.29962843;15.88;33.9728675;13;;;34.100000;15.00
35428815;16;34113941;13;35.42881491;15.88;34.11394112;13;;;34.200000;15.01
35428959;16;34153739;13;35.42895884;15.88;34.1537388;13.01;;;34.600000;15.01
35438634;16;34182437;13;35.43863424;15.89;34.18243664;13.01;;;34.600000;15.01
35440894;16;34227504;13;35.44089373;15.89;34.22750388;13.01;;;34.600000;15.02
36026803;16;34355717;13;36.02680349;15.9;34.35571703;13.01;;;34.700000;15.02
36026806;16;34388197;13;36.02680642;15.91;34.38819745;13.01;;;34.700000;15.02
36027143;16;34440769;13;36.02714334;15.91;34.44076916;13.01;;;34.700000;15.03
36066016;16;34494498;13;36.06601643;15.91;34.49449838;13.01;;;34.800000;15.04
36190250;16;34528933;13;36.19025027;15.91;34.52893337;13.01;;;34.800000;15.04
36190786;16;35289966;13;36.19078578;15.92;35.28996556;13.01;;;34.800000;15.05
36194851;16;35599248;13;36.19485065;15.93;35.59924832;13.01;;;34.900000;15.05
36194856;16;35834620;13;36.19485649;15.93;35.83461977;13.01;;;34.900000;15.06
36196602;16;36022971;13;36.19660192;15.93;36.02297137;13.02;;;34.900000;15.06
36199090;16;36052743;13;36.19909049;15.95;36.05274323;13.02;;;34.900000;15.06
36204662;16;36214593;13;36.20466166;15.95;36.21459329;13.02;;;34.900000;15.08
36293391;16;36330155;13;36.29339093;15.95;36.33015537;13.03;;;34.900000;15.09
36375420;16;36391628;13;36.37542023;15.96;36.39162795;13.03;;;35.000000;15.09
36987440;16;36482722;13;36.98743998;15.96;36.48272223;13.03;;;35.100000;15.10
37016422;16;36485439;13;37.01642173;15.97;36.48543859;13.04;;;35.100000;15.10
37044994;16;36505990;13;37.04499383;15.98;36.50599044;13.04;;;35.400000;15.10
37045266;16;36510904;13;37.04526641;16;36.51090388;13.05;;;35.400000;15.10
37045642;16;36523689;13;37.04564245;16;36.52368879;13.05;;;35.400000;15.11
37045822;16;36533054;13;37.04582157;16;36.53305412;13.07;;;35.400000;15.12
37050055;16;36533125;13;37.05005463;16;36.5331249;13.08;;;35.400000;15.13
37066656;16;36541505;13;37.06665613;16.03;36.54150519;13.09;;;35.500000;15.14
37081389;16;36556556;13;37.0813888;16.03;36.55655635;13.12;;;35.500000;15.14
37081416;16;36588673;13;37.08141596;16.03;36.58867339;13.12;;;35.600000;15.14
37082228;16;36656167;13;37.08222793;16.03;36.65616711;13.12;;;35.700000;15.14
37122220;16;36801308;13;37.1222201;16.05;36.80130844;13.12;;;35.700000;15.14
37133746;16;37112966;13;37.13374636;16.06;37.11296585;13.12;;;35.700000;15.15
37940056;16;37157792;13;37.94005642;16.07;37.15779161;13.12;;;35.700000;15.16
37940665;16;37476998;13;37.94066464;16.07;37.47699805;13.12;;;35.700000;15.16
37942791;16;37487421;13;37.94279138;16.08;37.48742064;13.12;;;35.700000;15.16
37992330;16;37541436;13;37.99232988;16.08;37.5414361;13.13;;;36.100000;15.17
38122308;16;37681576;13;38.12230769;16.08;37.68157607;13.13;;;36.100000;15.18
38124350;16;37706494;13;38.12435029;16.09;37.70649412;13.13;;;36.100000;15.18
38124509;16;37803473;13;38.12450863;16.09;37.8034732;13.13;;;36.200000;15.19
38124595;16;38090451;13;38.12459491;16.09;38.09045098;13.13;;;36.300000;15.20
38124623;16;38227313;13;38.12462349;16.1;38.22731297;13.13;;;36.300000;15.20
38125133;16;38297246;13;38.12513339;16.1;38.29724612;13.13;;;36.300000;15.21
38230593;16;38899254;13;38.23059295;16.1;38.89925418;13.13;;;36.400000;15.22
38233871;16;38975419;13;38.23387137;16.1;38.97541897;13.13;;;36.400000;15.22
38236511;16;39052307;13;38.23651095;16.11;39.05230697;13.13;;;36.400000;15.22
38267443;16;39277772;13;38.26744313;16.12;39.27777233;13.13;;;36.600000;15.22
38353507;16;39631948;13;38.3535068;16.13;39.63194802;13.13;;;36.600000;15.22
38353552;16;39658500;13;38.35355186;16.13;39.65849984;13.13;;;36.600000;15.23
38473163;16;39726460;13;38.4731628;16.13;39.72646007;13.13;;;36.900000;15.23
39108166;16;39764896;13;39.10816619;16.14;39.76489608;13.13;;;36.900000;15.23
39142108;16;39911066;13;39.14210824;16.15;39.91106554;13.13;;;36.900000;15.23
39146511;16;39981775;13;39.14651114;16.18;39.98177465;13.14;;;36.900000;15.23
39146528;16;40051863;13;39.14652802;16.18;40.05186265;13.14;;;36.900000;15.23
39146553;16;40115739;13;39.14655253;16.18;40.11573851;13.14;;;36.900000;15.25
39146555;16;40123552;13;39.14655497;16.19;40.1235516;13.14;;;37.100000;15.26
39167203;16;40136848;13;39.16720308;16.19;40.13684818;13.14;;;37.400000;15.27
39167388;16;40184790;13;39.16738781;16.2;40.18478986;13.14;;;37.400000;15.28
39167612;16;40241388;13;39.16761231;16.21;40.24138818;13.15;;;37.500000;15.28
39171080;16;40241631;13;39.17107951;16.22;40.24163135;13.15;;;37.600000;15.28
39202494;16;40241636;13;39.20249382;16.22;40.24163555;13.15;;;37.600000;15.28
39202632;16;40241699;13;39.20263159;16.22;40.24169881;13.17;;;37.600000;15.29
39202720;16;40244854;13;39.20272039;16.23;40.24485445;13.17;;;37.600000;15.29
39860753;16;40245501;13;39.8607526;16.24;40.24550107;13.2;;;37.600000;15.29
39882025;16;40245505;13;39.88202487;16.24;40.24550526;13.2;;;37.600000;15.29
39979683;16;40249775;13;39.97968292;16.24;40.24977548;13.2;;;37.700000;15.29
40062264;16;40275343;13;40.06226433;16.25;40.27534254;13.23;;;37.700000;15.29
40104729;16;40275605;13;40.10472854;16.26;40.27560521;13.23;;;37.700000;15.30
40314786;16;40283738;13;40.31478571;16.26;40.28373846;13.23;;;37.700000;15.31
40319745;16;40318709;13;40.31974545;16.27;40.31870883;13.24;;;37.700000;15.31
40429365;16;40387761;13;40.42936498;16.27;40.38776073;13.24;;;37.700000;15.32
40451133;16;40493420;13;40.45113264;16.27;40.49342026;13.24;;;38.000000;15.33
40456083;16;40566766;13;40.45608337;16.28;40.56676555;13.25;;;38.000000;15.34
40458763;16;40798252;13;40.45876337;16.28;40.79825204;13.25;;;38.000000;15.34
40458859;16;40808006;13;40.45885926;16.29;40.80800583;13.25;;;38.200000;15.35
40464447;16;40843333;13;40.46444719;16.31;40.84333302;13.25;;;38.200000;15.35
40508844;16;40873670;13;40.50884435;16.32;40.87367006;13.25;;;38.300000;15.35
40987131;16;40900812;13;40.98713052;16.32;40.9008119;13.25;;;38.300000;15.35
40996790;16;40947112;13;40.99679033;16.35;40.94711188;13.25;;;38.400000;15.35
41000572;16;41100103;13;41.0005721;16.35;41.10010292;13.25;;;38.400000;15.35
41005090;16;41155714;13;41.00509025;16.35;41.15571448;13.25;;;38.700000;15.35
41005103;16;41285913;13;41.00510256;16.36;41.2859126;13.25;;;38.700000;15.35
