A;B;A;B;A;B;A;B;;;;
259744737;30;254399774;21;259.7447367;29.89;254.3997735;21.34;;;257.000000;25.62
259746255;30;254404721;21;259.7462553;29.89;254.4047213;21.35;;;257.000000;25.62
259760177;30;254725019;21;259.7601765;29.9;254.7250186;21.35;;;257.000000;25.62
259760191;30;254999684;21;259.7601911;29.9;254.9996838;21.35;;;257.000000;25.62
259766315;30;254999777;21;259.7663154;29.9;254.999777;21.35;;;257.000000;25.62
259766527;30;254999825;21;259.7665267;29.9;254.9998253;21.36;;;257.000000;25.62
259767697;30;255037169;21;259.7676966;29.9;255.0371692;21.36;;;257.000000;25.62
259769885;30;255037334;21;259.769885;29.9;255.0373335;21.36;;;257.000000;25.63
259769894;30;255037853;21;259.7698942;29.9;255.0378526;21.37;;;257.000000;25.63
259769908;30;255037860;21;259.7699075;29.91;255.0378601;21.37;;;257.000000;25.64
259801941;30;255138384;21;259.8019409;29.91;255.1383843;21.37;;;257.000000;25.65
259811962;30;255139243;21;259.8119619;29.91;255.1392427;21.37;;;257.000000;25.65
259826905;30;255139289;21;259.8269047;29.92;255.1392892;21.37;;;257.000000;25.65
259969765;30;255139832;21;259.9697651;29.92;255.139832;21.37;;;257.000000;25.65
259989426;30;255144281;21;259.9894262;29.93;255.1442812;21.38;;;257.000000;25.65
259990272;30;255146517;21;259.9902725;29.93;255.1465169;21.38;;;257.000000;25.65
259991985;30;255151556;21;259.9919847;29.93;255.1515562;21.38;;;257.000000;25.65
260008672;30;255203113;21;260.008672;29.93;255.2031134;21.38;;;257.000000;25.65
260009115;30;255205343;21;260.0091146;29.93;255.2053435;21.38;;;257.000000;25.66
260009244;30;255206136;21;260.0092443;29.94;255.2061362;21.39;;;257.000000;25.66
260020472;30;255208198;21;260.0204716;29.94;255.208198;21.39;;;257.000000;25.66
260024597;30;255211331;21;260.024597;29.94;255.2113305;21.39;;;257.000000;25.66
260436671;30;255211895;21;260.4366711;29.94;255.2118945;21.39;;;257.000000;25.66
260522693;30;255221162;21;260.5226931;29.95;255.2211621;21.4;;;257.000000;25.66
260523509;30;255225078;21;260.5235089;29.95;255.2250779;21.4;;;257.000000;25.66
260630740;30;255254263;21;260.6307396;29.95;255.2542626;21.4;;;257.000000;25.67
260631933;30;255258735;21;260.6319325;29.95;255.2587349;21.4;;;257.000000;25.67
260667239;30;255258763;21;260.6672388;29.95;255.2587629;21.4;;;258.000000;25.68
260705098;30;255258789;21;260.7050983;29.95;255.2587894;21.4;;;258.000000;25.68
260705126;30;255258809;21;260.7051264;29.95;255.2588095;21.41;;;258.000000;25.68
260708553;30;255258820;21;260.7085531;29.95;255.2588199;21.41;;;258.000000;25.69
260712890;30;255258829;21;260.7128898;29.96;255.2588291;21.41;;;258.000000;25.69
260764447;30;255258847;21;260.764447;29.96;255.2588473;21.41;;;258.000000;25.69
260764744;30;255262326;21;260.7647436;29.96;255.2623256;21.41;;;258.000000;25.69
260764852;30;255275066;21;260.7648517;29.96;255.2750662;21.41;;;258.000000;25.70
260772521;30;255280133;21;260.7725214;29.96;255.280133;21.42;;;258.000000;25.70
260772564;30;255296888;21;260.772564;29.97;255.2968879;21.42;;;258.000000;25.70
260866781;30;255297262;21;260.8667806;29.97;255.2972624;21.42;;;258.000000;25.70
260876239;30;255297268;21;260.8762387;29.97;255.2972676;21.42;;;258.000000;25.70
261128827;30;255309745;21;261.1288274;29.97;255.3097455;21.43;;;258.000000;25.70
261128838;30;255310320;21;261.1288379;29.97;255.3103196;21.43;;;258.000000;25.70
261128930;30;255311776;21;261.1289298;29.98;255.3117763;21.43;;;258.000000;25.71
261132494;30;255314126;21;261.132494;29.98;255.3141262;21.43;;;258.000000;25.71
261133270;30;255317229;21;261.1332704;29.98;255.3172289;21.44;;;258.000000;25.71
261182742;30;255318878;21;261.1827421;29.98;255.3188777;21.44;;;258.000000;25.71
261182877;30;255319225;21;261.1828772;29.99;255.3192248;21.44;;;258.000000;25.72
261188139;30;255319994;21;261.188139;29.99;255.3199943;21.44;;;258.000000;25.72
261197209;30;255320057;21;261.1972087;29.99;255.320057;21.44;;;258.000000;25.72
261198802;30;255320605;21;261.1988022;30;255.3206054;21.45;;;258.000000;25.72
261200560;30;255326706;21;261.2005601;30.01;255.3267062;21.45;;;258.000000;25.72
261202797;30;255327780;21;261.2027967;30.01;255.3277796;21.45;;;258.000000;25.72
261376798;30;255327787;21;261.3767982;30.01;255.3277874;21.45;;;258.000000;25.73
261378309;30;255329315;21;261.3783088;30.01;255.3293155;21.45;;;258.000000;25.73
261392746;30;255329569;21;261.3927459;30.01;255.3295689;21.45;;;258.000000;25.73
261402019;30;255331519;21;261.4020192;30.02;255.3315187;21.45;;;258.000000;25.73
261404814;30;255336864;21;261.4048136;30.02;255.3368638;21.46;;;258.000000;25.73
261411234;30;255336866;21;261.4112336;30.02;255.3368664;21.46;;;258.000000;25.73
261424127;30;255336869;21;261.4241268;30.02;255.3368691;21.46;;;258.000000;25.73
261428463;30;255336941;21;261.4284631;30.02;255.3369411;21.46;;;258.000000;25.73
261729917;30;255336948;21;261.7299167;30.02;255.336948;21.46;;;258.000000;25.74
261771604;30;255340474;21;261.7716042;30.03;255.3404736;21.46;;;258.000000;25.74
262042341;30;255344487;21;262.0423415;30.03;255.3444866;21.46;;;258.000000;25.74
262042390;30;255367159;21;262.0423897;30.03;255.3671593;21.46;;;258.000000;25.74
262048357;30;255370886;21;262.0483572;30.03;255.3708864;21.47;;;258.000000;25.75
262294572;30;255374411;21;262.2945719;30.03;255.3744109;21.48;;;258.000000;25.75
262296573;30;255381409;21;262.2965726;30.05;255.3814088;21.48;;;258.000000;25.75
262303122;30;255384311;21;262.3031216;30.05;255.384311;21.48;;;258.000000;25.75
262306481;30;255387586;21;262.3064808;30.05;255.3875862;21.48;;;258.000000;25.76
262310515;30;255407823;21;262.3105151;30.05;255.4078228;21.48;;;258.000000;25.76
262424765;30;255441379;21;262.4247648;30.05;255.4413791;21.49;;;258.000000;25.76
262467887;30;255453660;21;262.4678873;30.06;255.4536602;21.49;;;258.000000;25.76
262478649;30;255456402;21;262.4786485;30.06;255.456402;21.49;;;258.000000;25.76
262478770;30;255456449;21;262.4787704;30.07;255.456449;21.49;;;258.000000;25.76
262491659;30;255496035;21;262.4916593;30.07;255.4960352;21.49;;;258.000000;25.76
262494185;30;255496518;21;262.494185;30.07;255.4965182;21.49;;;258.000000;25.77
262752693;30;255497009;21;262.7526931;30.08;255.497009;21.49;;;258.000000;25.77
262755468;30;255497830;21;262.7554677;30.08;255.4978301;21.49;;;258.000000;25.77
262756905;30;255502321;21;262.7569048;30.08;255.5023209;21.49;;;259.000000;25.77
262759038;30;255514993;21;262.7590377;30.08;255.514993;21.49;;;259.000000;25.77
262759054;30;255515148;21;262.7590536;30.08;255.5151484;21.5;;;259.000000;25.77
262759174;30;255518553;21;262.7591737;30.08;255.5185534;21.5;;;259.000000;25.77
262759846;30;255518567;21;262.7598465;30.09;255.5185671;21.5;;;259.000000;25.77
263018129;30;255520330;21;263.0181287;30.09;255.52033;21.5;;;259.000000;25.77
263385643;30;255529707;21;263.385643;30.09;255.5297074;21.5;;;259.000000;25.77
263407229;30;255535515;22;263.4072289;30.1;255.5355154;21.5;;;259.000000;25.78
263407293;30;255536550;22;263.4072926;30.1;255.5365502;21.5;;;259.000000;25.78
263407593;30;255688459;22;263.4075931;30.11;255.6884587;21.51;;;259.000000;25.78
263409517;30;255688525;22;263.4095167;30.11;255.6885255;21.51;;;259.000000;25.79
263421456;30;255689475;22;263.4214556;30.11;255.6894754;21.51;;;259.000000;25.79
263451044;30;255700098;22;263.4510437;30.12;255.7000976;21.51;;;259.000000;25.79
263499231;30;255706273;22;263.4992308;30.12;255.7062726;21.52;;;259.000000;25.79
263500730;30;255706336;22;263.50073;30.12;255.7063357;21.52;;;259.000000;25.79
263515100;30;255730495;22;263.5150996;30.12;255.7304946;21.52;;;259.000000;25.80
263516295;30;255731993;22;263.5162946;30.14;255.7319929;21.52;;;259.000000;25.80
263517201;30;255732109;22;263.517201;30.14;255.7321095;21.52;;;259.000000;25.80
263517919;30;255732604;22;263.5179187;30.14;255.7326038;21.52;;;259.000000;25.80
263518772;30;255734933;22;263.5187721;30.14;255.7349334;21.52;;;259.000000;25.80
263518779;30;255740791;22;263.5187792;30.14;255.7407906;21.52;;;259.000000;25.81
263519619;30;255765934;22;263.5196185;30.15;255.7659342;21.52;;;259.000000;25.81
263550025;30;255771028;22;263.5500245;30.15;255.7710277;21.52;;;259.000000;25.81
263566864;30;255786955;22;263.5668636;30.15;255.7869554;21.52;;;259.000000;25.82
263567284;30;255799599;22;263.5672839;30.15;255.7995988;21.53;;;259.000000;25.82
263569509;30;255799732;22;263.5695094;30.15;255.7997322;21.53;;;259.000000;25.82
263614400;30;255800365;22;263.6144004;30.16;255.8003646;21.53;;;259.000000;25.82
263622899;30;255805664;22;263.6228994;30.16;255.8056641;21.53;;;260.000000;25.82
263626892;30;255807816;22;263.6268924;30.16;255.8078159;21.53;;;260.000000;25.82
263626926;30;255807864;22;263.6269258;30.16;255.8078637;21.53;;;260.000000;25.82
263627119;30;255828331;22;263.6271193;30.17;255.8283314;21.53;;;260.000000;25.82
263627142;30;255869577;22;263.627142;30.19;255.8695769;21.53;;;260.000000;25.83
263627239;30;256073776;22;263.6272393;30.19;256.0737763;21.53;;;260.000000;25.84
263651706;30;256138568;22;263.6517059;30.2;256.1385684;21.54;;;260.000000;25.84
263651769;30;256165208;22;263.6517689;30.2;256.1652081;21.54;;;260.000000;25.85
263651887;30;256198458;22;263.6518869;30.2;256.1984578;21.54;;;260.000000;25.85
263651893;30;256198885;22;263.6518934;30.2;256.198885;21.54;;;260.000000;25.85
263654675;30;256201558;22;263.6546753;30.2;256.2015581;21.54;;;260.000000;25.85
263654983;30;256206281;22;263.6549834;30.21;256.2062812;21.54;;;260.000000;25.85
263655018;30;256214904;22;263.6550179;30.21;256.2149044;21.54;;;260.000000;25.85
263655034;30;256316005;22;263.6550335;30.21;256.3160053;21.54;;;260.000000;25.86
263655337;30;256316304;22;263.6553368;30.21;256.3163041;21.54;;;260.000000;25.86
263655975;30;256355139;22;263.6559749;30.21;256.3551391;21.55;;;260.000000;25.86
264234453;30;256355930;22;264.2344529;30.21;256.3559301;21.55;;;260.000000;25.86
264312020;30;256359388;22;264.3120203;30.22;256.3593876;21.55;;;260.000000;25.86
264326303;30;256427970;22;264.326303;30.22;256.4279699;21.55;;;260.000000;25.86
264327720;30;256431233;22;264.3277202;30.22;256.4312327;21.55;;;260.000000;25.86
264332227;30;256587605;22;264.3322268;30.23;256.5876046;21.56;;;260.000000;25.87
264335205;30;256587714;22;264.3352053;30.23;256.5877141;21.56;;;260.000000;25.87
264336846;30;256612592;22;264.3368455;30.24;256.612592;21.56;;;260.000000;25.87
264561310;30;256617408;22;264.5613104;30.24;256.6174078;21.56;;;260.000000;25.87
264561985;30;256617640;22;264.5619853;30.24;256.6176405;21.56;;;260.000000;25.88
264572120;30;256618949;22;264.5721201;30.25;256.6189489;21.56;;;260.000000;25.88
264573914;30;256829026;22;264.573914;30.25;256.8290258;21.56;;;260.000000;25.88
264577765;30;256835009;22;264.577765;30.25;256.8350089;21.56;;;260.000000;25.88
264577817;30;257116173;22;264.5778168;30.26;257.1161732;21.56;;;260.000000;25.89
264591039;30;257116290;22;264.5910394;30.26;257.11629;21.56;;;260.000000;25.89
264592678;30;257120042;22;264.5926778;30.27;257.1200421;21.56;;;260.000000;25.89
264593036;30;257120941;22;264.5930363;30.27;257.1209407;21.56;;;260.000000;25.89
264599312;30;257260298;22;264.5993125;30.27;257.2602977;21.56;;;260.000000;25.89
264599372;30;257579688;22;264.5993723;30.27;257.5796881;21.57;;;260.000000;25.89
264599484;30;257600349;22;264.5994836;30.28;257.600349;21.57;;;260.000000;25.89
264599531;30;257667901;22;264.5995314;30.28;257.6679015;21.57;;;260.000000;25.89
264714645;30;257700962;22;264.7146447;30.29;257.7009616;21.57;;;260.000000;25.90
264721970;30;257701049;22;264.72197;30.29;257.701049;21.57;;;260.000000;25.90
264722455;30;257796208;22;264.7224551;30.29;257.7962083;21.57;;;260.000000;25.90
264722459;30;257796217;22;264.7224595;30.29;257.7962171;21.57;;;260.000000;25.90
264722780;30;257796249;22;264.7227797;30.29;257.7962487;21.57;;;260.000000;25.90
264726425;30;257806838;22;264.7264251;30.29;257.8068384;21.57;;;261.000000;25.90
264728707;30;257806905;22;264.7287069;30.29;257.8069051;21.57;;;261.000000;25.90
264740694;30;258082793;22;264.7406936;30.29;258.0827934;21.57;;;261.000000;25.90
264743663;30;258082799;22;264.7436635;30.29;258.0827987;21.57;;;261.000000;25.91
264999822;30;258125480;22;264.9998215;30.3;258.1254797;21.58;;;261.000000;25.91
264999825;30;258314628;22;264.9998246;30.3;258.3146281;21.58;;;261.000000;25.91
265002962;30;258316951;22;265.0029621;30.3;258.316951;21.58;;;261.000000;25.91
265025467;30;258688427;22;265.0254672;30.31;258.6884267;21.58;;;261.000000;25.91
265034041;30;258690646;22;265.0340408;30.31;258.6906459;21.58;;;261.000000;25.92
265088588;30;258706803;22;265.0885878;30.31;258.7068026;21.58;;;261.000000;25.92
265109592;30;258708384;22;265.1095919;30.31;258.7083844;21.58;;;261.000000;25.92
265146062;30;258872769;22;265.1460624;30.31;258.8727693;21.58;;;261.000000;25.92
265147817;30;258872899;22;265.1478174;30.31;258.8728985;21.58;;;261.000000;25.92
265148705;30;258882578;22;265.1487051;30.31;258.882578;21.58;;;262.000000;25.92
265154708;30;259107043;22;265.1547081;30.32;259.1070429;21.59;;;262.000000;25.92
265200547;30;259122791;22;265.2005473;30.32;259.1227913;21.59;;;262.000000;25.93
265201720;30;259123607;22;265.2017202;30.32;259.1236071;21.59;;;262.000000;25.93
265203989;30;259127295;22;265.203989;30.32;259.1272949;21.59;;;262.000000;25.93
265276761;30;259132866;22;265.2767614;30.32;259.1328661;21.59;;;262.000000;25.93
265276952;30;259135037;22;265.2769523;30.32;259.1350372;21.59;;;262.000000;25.93
265279816;30;259135813;22;265.2798162;30.33;259.1358125;21.6;;;262.000000;25.93
265303832;30;259135820;22;265.3038324;30.33;259.1358201;21.6;;;262.000000;25.93
265494239;30;259197716;22;265.4942392;30.33;259.1977156;21.6;;;262.000000;25.93
265522937;30;259198018;22;265.522937;30.33;259.1980184;21.6;;;262.000000;25.93
265554746;30;259240957;22;265.554746;30.34;259.2409566;21.6;;;262.000000;25.93
265562895;30;259241915;22;265.5628954;30.34;259.2419153;21.61;;;262.000000;25.94
265607585;30;259242020;22;265.6075855;30.34;259.2420205;21.61;;;262.000000;25.94
265620747;30;259270395;22;265.6207472;30.35;259.270395;21.61;;;262.000000;25.94
265635147;30;259270399;22;265.6351465;30.35;259.2703989;21.61;;;262.000000;25.94
265838792;30;259276590;22;265.8387922;30.35;259.2765902;21.61;;;262.000000;25.94
265859152;30;259314835;22;265.8591515;30.35;259.3148348;21.61;;;262.000000;25.95
265861668;30;259327402;22;265.8616679;30.35;259.3274019;21.62;;;262.000000;25.95
265863125;30;259330853;22;265.8631246;30.35;259.3308526;21.62;;;262.000000;25.95
265866501;30;259334971;22;265.8665005;30.35;259.3349707;21.62;;;262.000000;25.95
265868602;30;259368156;22;265.8686022;30.35;259.3681561;21.62;;;262.000000;25.95
265881105;30;259373208;22;265.8811047;30.36;259.3732085;21.62;;;262.000000;25.95
265881893;30;259375221;22;265.8818933;30.37;259.3752206;21.63;;;262.000000;25.95
265943476;30;259375359;22;265.9434756;30.37;259.375359;21.63;;;262.000000;25.96
265945836;30;259375737;22;265.9458357;30.37;259.3757367;21.63;;;262.000000;25.96
265993303;30;259376323;22;265.993303;30.37;259.3763232;21.64;;;262.000000;25.96
266112918;30;259376441;22;266.1129178;30.37;259.3764407;21.64;;;262.000000;25.96
266117564;30;259378204;22;266.1175645;30.38;259.3782037;21.64;;;262.000000;25.96
266117646;30;259378211;22;266.1176463;30.38;259.3782113;21.64;;;262.000000;25.97
266120084;30;259382704;22;266.1200841;30.38;259.3827041;21.65;;;262.000000;25.97
266126052;30;259416213;22;266.1260522;30.39;259.416213;21.66;;;262.000000;25.97
266131312;30;259422762;22;266.1313123;30.39;259.4227621;21.66;;;262.000000;25.97
266159822;30;259485069;22;266.1598221;30.4;259.4850688;21.66;;;262.000000;25.97
266160397;30;259486789;22;266.1603969;30.4;259.4867891;21.66;;;262.000000;25.98
266165367;30;259491223;22;266.165367;30.4;259.4912233;21.67;;;262.000000;25.98
266168255;30;259491288;22;266.1682547;30.4;259.4912881;21.67;;;262.000000;25.98
266168318;30;259491301;22;266.1683177;30.4;259.4913011;21.67;;;262.000000;25.98
266380688;30;259499402;22;266.3806882;30.4;259.4994021;21.68;;;262.000000;25.98
266380770;30;259499419;22;266.3807699;30.4;259.4994189;21.68;;;262.000000;25.98
266380788;30;259514904;22;266.380788;30.4;259.5149036;21.68;;;262.000000;25.99
266403207;30;259516960;22;266.4032074;30.41;259.5169598;21.68;;;262.000000;25.99
266403378;30;259517947;22;266.4033784;30.41;259.5179469;21.68;;;262.000000;26.00
266408850;30;259518165;22;266.4088501;30.41;259.5181649;21.69;;;262.000000;26.00
266409269;30;259518541;22;266.4092693;30.41;259.5185412;21.69;;;262.000000;26.00
266432022;30;259518646;22;266.4320224;30.42;259.5186459;21.69;;;262.000000;26.00
266435788;30;259519348;22;266.4357875;30.42;259.5193481;21.69;;;262.000000;26.00
266438821;30;259519364;22;266.4388212;30.42;259.5193638;21.7;;;262.000000;26.00
266444746;30;259519366;22;266.4447464;30.42;259.5193663;21.7;;;262.000000;26.01
266449167;30;259519593;22;266.449167;30.42;259.5195935;21.7;;;262.000000;26.01
266457802;30;259519600;22;266.4578017;30.43;259.5195996;21.7;;;262.000000;26.01
266458186;30;259520195;22;266.4581859;30.43;259.5201953;21.71;;;262.000000;26.01
266459330;30;259520392;22;266.4593304;30.44;259.5203917;21.71;;;262.000000;26.01
266477656;30;259520397;22;266.477656;30.44;259.5203967;21.72;;;262.000000;26.01
266509341;30;259520771;22;266.5093414;30.44;259.520771;21.72;;;263.000000;26.01
266514294;30;259526293;22;266.5142937;30.44;259.5262931;21.72;;;263.000000;26.02
266515724;30;259528758;22;266.5157245;30.44;259.5287578;21.72;;;263.000000;26.02
266517435;30;259528821;22;266.5174346;30.44;259.5288213;21.72;;;263.000000;26.02
266518436;30;259534696;22;266.5184361;30.45;259.5346959;21.73;;;263.000000;26.02
266524244;30;259687470;22;266.5242442;30.46;259.6874697;21.73;;;263.000000;26.02
266524957;30;259687477;22;266.5249565;30.46;259.6874766;21.73;;;263.000000;26.02
266526522;30;259687530;22;266.5265224;30.46;259.6875303;21.73;;;263.000000;26.03
266552871;30;259711534;22;266.5528713;30.46;259.7115341;21.73;;;263.000000;26.03
266553248;30;259713177;22;266.5532481;30.47;259.7131768;21.73;;;263.000000;26.03
266557197;30;259713259;22;266.5571966;30.48;259.7132593;21.73;;;263.000000;26.03
266557857;30;259713756;22;266.5578574;30.48;259.7137558;21.74;;;263.000000;26.03
267076505;30;259713883;22;267.0765054;30.48;259.7138825;21.74;;;263.000000;26.03
267077150;30;259733341;22;267.0771496;30.48;259.7333412;21.74;;;263.000000;26.03
267077297;30;259733538;22;267.0772969;30.49;259.7335377;21.74;;;263.000000;26.04
267085515;30;259744570;22;267.0855153;30.49;259.7445699;21.74;;;263.000000;26.04
267112519;30;259745275;22;267.112519;30.5;259.7452753;21.74;;;264.000000;26.04
267114103;30;259745309;22;267.1141035;30.5;259.7453087;21.74;;;264.000000;26.04
267114110;30;259748487;22;267.1141104;30.5;259.748487;21.75;;;264.000000;26.04
267547868;31;259750213;22;267.547868;30.5;259.7502127;21.75;;;264.000000;26.05
267883815;31;259750363;22;267.8838147;30.51;259.7503633;21.75;;;264.000000;26.05
267889513;31;259754378;22;267.8895135;30.51;259.7543779;21.75;;;264.000000;26.05
267890002;31;259754487;22;267.8900016;30.52;259.7544866;21.76;;;264.000000;26.05
267891227;31;259754843;22;267.8912275;30.52;259.7548425;21.76;;;264.000000;26.05
267891470;31;259761881;22;267.8914702;30.52;259.7618808;21.76;;;264.000000;26.06
267891963;31;259763955;22;267.8919628;30.53;259.7639549;21.76;;;264.000000;26.06
267892520;31;259779803;22;267.8925199;30.53;259.7798027;21.76;;;264.000000;26.06
268131634;31;259787542;22;268.131634;30.53;259.7875425;21.76;;;264.000000;26.07
268131806;31;259787749;22;268.1318062;30.53;259.7877495;21.76;;;264.000000;26.07
268133718;31;259798705;22;268.1337181;30.53;259.7987047;21.76;;;264.000000;26.07
268133762;31;259798847;22;268.1337624;30.54;259.7988468;21.76;;;264.000000;26.07
268133959;31;259815965;22;268.1339589;30.54;259.8159647;21.77;;;264.000000;26.08
268182256;31;259852759;22;268.1822555;30.54;259.8527594;21.77;;;264.000000;26.08
268182312;31;259900819;22;268.1823119;30.55;259.9008186;21.77;;;264.000000;26.08
268193186;31;259900983;22;268.1931864;30.55;259.9009825;21.77;;;264.000000;26.08
268347822;31;260045469;22;268.3478222;30.56;260.045469;21.77;;;264.000000;26.08
268347847;31;260049368;22;268.3478474;30.56;260.0493675;21.77;;;264.000000;26.08
268348587;31;260058961;22;268.3485866;30.56;260.0589611;21.77;;;264.000000;26.09
268350909;31;260162118;22;268.3509095;30.56;260.162118;21.77;;;264.000000;26.09
268354958;31;260162663;22;268.3549585;30.56;260.1626629;21.78;;;264.000000;26.09
268357802;31;260162828;22;268.357802;30.56;260.1628281;21.78;;;264.000000;26.09
268359032;31;260167071;22;268.3590319;30.57;260.1670707;21.78;;;264.000000;26.10
268427049;31;260190224;22;268.4270494;30.57;260.1902235;21.78;;;264.000000;26.10
268446417;31;260190966;22;268.4464171;30.58;260.190966;21.78;;;264.000000;26.10
268451194;31;260193870;22;268.4511939;30.58;260.1938702;21.78;;;264.000000;26.11
268634848;31;260233512;22;268.6348481;30.59;260.2335122;21.78;;;264.000000;26.11
268635072;31;260233522;22;268.635072;30.59;260.2335221;21.78;;;264.000000;26.11
268636215;31;260233559;22;268.6362154;30.59;260.2335594;21.78;;;264.000000;26.12
268636481;31;260234439;22;268.6364805;30.59;260.2344385;21.78;;;264.000000;26.12
268681306;31;260235561;22;268.6813063;30.6;260.2355605;21.78;;;264.000000;26.12
268693222;31;260235919;22;268.6932221;30.61;260.2359191;21.78;;;264.000000;26.12
268699607;31;260554397;22;268.6996065;30.61;260.5543968;21.79;;;264.000000;26.12
268705310;31;260555316;22;268.7053103;30.61;260.555316;21.79;;;264.000000;26.13
268705370;31;260560192;22;268.7053698;30.62;260.5601922;21.79;;;264.000000;26.13
268717212;31;260560359;22;268.7172118;30.62;260.5603586;21.79;;;264.000000;26.13
268720222;31;260775875;22;268.7202217;30.62;260.7758749;21.79;;;264.000000;26.14
268729464;31;260777747;22;268.7294636;30.62;260.7777473;21.8;;;264.000000;26.14
268759065;31;260779953;22;268.7590645;30.63;260.7799534;21.8;;;264.000000;26.14
268926905;31;260788895;22;268.9269045;30.63;260.7888954;21.8;;;264.000000;26.14
269010310;31;260789177;22;269.01031;30.64;260.7891774;21.8;;;264.000000;26.14
269010370;31;260790933;22;269.0103701;30.64;260.7909327;21.8;;;264.000000;26.14
269010377;31;260790952;22;269.0103774;30.64;260.7909521;21.8;;;264.000000;26.15
269016849;31;261066103;22;269.0168486;30.64;261.0661026;21.8;;;264.000000;26.15
269016959;31;261068933;22;269.0169589;30.65;261.0689327;21.8;;;264.000000;26.15
269017059;31;261375576;22;269.0170589;30.65;261.3755757;21.8;;;264.000000;26.15
269019102;31;261377249;22;269.0191021;30.65;261.3772486;21.8;;;264.000000;26.15
269074291;31;261379412;22;269.0742908;30.67;261.3794121;21.8;;;264.000000;26.16
269076947;31;261430980;22;269.0769469;30.68;261.4309795;21.8;;;264.000000;26.16
269079408;31;261461528;22;269.0794079;30.68;261.4615282;21.8;;;264.000000;26.16
269082884;31;261595911;22;269.0828843;30.68;261.5959112;21.8;;;264.000000;26.16
269105177;31;261598351;22;269.105177;30.68;261.5983514;21.81;;;264.000000;26.16
269106623;31;261598553;22;269.1066234;30.69;261.5985529;21.81;;;264.000000;26.16
269109181;31;261603207;22;269.1091806;30.7;261.6032074;21.81;;;264.000000;26.17
269110607;31;261606257;22;269.1106075;30.7;261.6062568;21.81;;;264.000000;26.17
269163843;31;261760893;22;269.1638428;30.7;261.7608926;21.81;;;264.000000;26.17
269163867;31;261763303;22;269.1638672;30.71;261.7633031;21.81;;;264.000000;26.18
269214637;31;261780243;22;269.2146367;30.72;261.7802434;21.82;;;264.000000;26.18
269215377;31;261821874;22;269.2153771;30.72;261.8218735;21.82;;;264.000000;26.19
269225701;31;261824662;22;269.2257011;30.72;261.8246616;21.82;;;264.000000;26.19
269259045;31;261824857;22;269.2590452;30.73;261.8248568;21.82;;;264.000000;26.19
269288908;31;261853456;22;269.2889079;30.73;261.8534564;21.83;;;264.000000;26.19
269288925;31;261856254;22;269.2889255;30.73;261.8562543;21.83;;;264.000000;26.19
269289334;31;261870974;22;269.2893339;30.73;261.870974;21.83;;;264.000000;26.19
269289731;31;261880127;22;269.2897306;30.73;261.8801271;21.83;;;264.000000;26.19
269293989;31;262019530;22;269.2939887;30.73;262.0195299;21.83;;;265.000000;26.19
269485075;31;262019542;22;269.4850754;30.74;262.0195418;21.83;;;265.000000;26.19
269488059;31;262019552;22;269.4880589;30.74;262.0195519;21.83;;;265.000000;26.20
269488490;31;262019629;22;269.4884902;30.74;262.0196292;21.83;;;265.000000;26.20
269489243;31;262029807;22;269.4892428;30.74;262.0298069;21.83;;;265.000000;26.20
269498360;31;262048856;22;269.4983598;30.74;262.0488557;21.84;;;265.000000;26.20
269503429;31;262051035;22;269.5034294;30.74;262.0510347;21.84;;;265.000000;26.21
269504225;31;262054475;22;269.5042253;30.75;262.0544754;21.84;;;265.000000;26.21
269504227;31;262062450;22;269.5042271;30.75;262.0624504;21.84;;;265.000000;26.22
269504542;31;262062462;22;269.5045419;30.75;262.0624623;21.84;;;265.000000;26.22
269508659;31;262063140;22;269.5086586;30.75;262.0631399;21.84;;;265.000000;26.22
269512307;31;262069896;22;269.5123073;30.75;262.0698959;21.84;;;265.000000;26.23
269521509;31;262071111;22;269.5215087;30.75;262.0711112;21.84;;;265.000000;26.23
269527581;31;262113439;22;269.527581;30.75;262.113439;21.84;;;265.000000;26.24
269527610;31;262115779;22;269.5276098;30.76;262.1157793;21.84;;;265.000000;26.24
269547589;31;262116295;22;269.547589;30.76;262.116295;21.84;;;265.000000;26.24
269549668;31;262116519;22;269.5496681;30.77;262.1165191;21.85;;;265.000000;26.24
269567132;31;262117230;22;269.5671323;30.77;262.1172304;21.85;;;265.000000;26.24
269586721;31;262118834;22;269.586721;30.77;262.1188336;21.85;;;265.000000;26.24
269587489;31;262118867;22;269.5874885;30.78;262.1188669;21.85;;;265.000000;26.25
269732957;31;262124120;22;269.7329573;30.78;262.1241198;21.85;;;265.000000;26.25
269735887;31;262130503;22;269.7358867;30.78;262.1305031;21.85;;;265.000000;26.25
269736016;31;262156082;22;269.7360156;30.78;262.1560815;21.85;;;265.000000;26.25
269736281;31;262171259;22;269.7362809;30.79;262.1712585;21.85;;;265.000000;26.25
269736291;31;262175314;22;269.7362907;30.79;262.1753136;21.85;;;265.000000;26.25
269740786;31;262175382;22;269.7407858;30.8;262.1753817;21.85;;;265.000000;26.25
269741470;31;262203892;22;269.7414697;30.8;262.2038915;21.86;;;265.000000;26.25
269747849;31;262203908;22;269.7478488;30.8;262.2039084;21.86;;;265.000000;26.25
269832465;31;262203920;22;269.8324653;30.8;262.2039203;21.86;;;266.000000;26.26
270052890;31;262385215;22;270.0528904;30.81;262.3852152;21.86;;;266.000000;26.26
