Energy supply [PWh];LCOE_Uniform discount rate [$/MWh];Energy supply [PWh];LCOE_Country-specific discount rate [$/MWh];World demand [PWh]
28.45343864;12.88182022;28.84966981;14.93911788;
28.63100292;12.88201484;28.9428129;14.94276943;
28.63667696;12.88287814;29.07138812;14.94296649;
28.73999997;12.88319731;29.07342824;14.94861159;
28.79887171;12.88460345;29.07628849;14.95168825;
28.92491815;12.88563929;29.07636359;14.9756312;
28.99979418;12.88732625;29.07963902;14.97612009;
29.06175465;12.88770636;29.22746393;14.97785964;
29.72263856;12.88779187;29.23584422;14.99858846;
30.11232424;12.88937857;29.23587323;15.00114068;
30.13797808;12.88945524;29.23712556;15.00323435;
30.2904117;12.89033503;29.28777376;15.00950156;
30.35524958;12.8905434;29.31964492;15.01083131;
30.39484372;12.89087868;29.352342;15.01738334;
30.63150275;12.89092295;29.35258273;15.01795661;
30.69834092;12.89093101;29.37172141;15.02060808;
30.74144293;12.89115085;29.37172505;15.02345128;
31.11192594;12.89339503;29.37370573;15.03018682;
31.59332999;12.89513647;29.37881908;15.04164094;
31.68220097;12.89620989;29.37942912;15.04569814;
31.68292366;12.89642472;29.39630361;15.06317352;
31.77013416;12.89719327;29.39778799;15.06936845;
31.96118588;12.89783285;29.44184458;15.07374297;
32.04566647;12.89881534;29.54920935;15.08849177;
32.04576938;12.89886821;29.83728048;15.09210561;
32.4037702;12.89926796;29.93292483;15.09422663;
32.4562426;12.89956802;30.03718611;15.09958916;
32.48108677;12.90092661;30.14994073;15.10265576;
32.60210977;12.90183113;30.15330228;15.10894932;
32.63144934;12.90416858;30.15331606;15.11109699;
32.73571062;12.90774739;30.20931317;15.11269014;
32.73712577;12.91189986;30.30939265;15.11751573;
32.75149542;12.91536545;30.3149647;15.12720451;
32.87459617;12.91921652;30.31501266;15.13203566;
32.87701726;12.93111098;30.35776892;15.14475164;
32.89224596;12.9343337;30.36089564;15.15191182;
32.91091224;12.93835765;30.37959144;15.17197155;
32.9130883;12.9614788;30.39757676;15.17333465;
32.91746037;12.9729666;30.39875959;15.17667927;
32.92935121;12.98739682;30.40227196;15.17801311;
32.94866932;12.98775117;30.40227761;15.19380605;
32.959341;12.99074215;30.40435972;15.20475278;
32.98342138;12.99339837;30.53257287;15.21873576;
33.15100868;12.99449164;30.54068061;15.22359889;
33.18921922;12.99567002;30.5408232;15.22634707;
33.40340402;12.99702018;30.60332751;15.23340848;
33.40823453;12.99711671;30.77691905;15.24281244;
33.43493565;12.99786524;30.77696802;15.25706062;
33.44292222;12.9982551;30.82765143;15.25853115;
33.51786663;12.99836363;30.99038857;15.25987784;
33.57543472;12.99928307;31.08603503;15.26315389;
33.63151424;13.00355769;31.1759319;15.26439098;
33.76743759;13.00415843;31.29715161;15.26699328;
33.90857203;13.00426262;31.33142434;15.27374511;
34.16576307;13.00452887;31.33545745;15.27930764;
34.17647579;13.00472179;31.33715286;15.28230336;
34.21752503;13.00512537;31.33723824;15.29355442;
34.49166667;13.00537134;31.36464863;15.29643809;
34.5203645;13.0064;31.37775175;15.2978796;
34.57443213;13.00657002;31.4239548;15.30254433;
34.72045256;13.00877422;31.46093326;15.31389349;
34.77378918;13.00943861;31.46095026;15.31883814;
34.90200234;13.00959879;31.47203668;15.32487079;
34.93448276;13.00967331;31.4845292;15.33472795;
35.04588699;13.01044897;31.4846065;15.34612713;
35.09961621;13.011062;31.62163123;15.36021928;
35.13560392;13.01108758;31.62164414;15.36071795;
35.19777489;13.01129228;31.6216477;15.36741768;
35.87206112;13.0124906;31.62171132;15.36845534;
35.89846874;13.01351464;31.6865492;15.38491568;
36.21101561;13.01366392;31.7506437;15.39044061;
36.31542014;13.01889045;31.75338033;15.39502656;
36.50392457;13.01985966;31.93652421;15.39872437;
36.53415337;13.02034957;32.1551969;15.40410062;
36.69600342;13.02164718;32.17263135;15.40984669;
36.81160576;13.02600971;32.17569328;15.41108127;
36.87307834;13.02697206;32.17569892;15.42051109;
36.87596617;13.03349939;32.30563797;15.42144162;
36.96718636;13.03407318;32.39982866;15.43192017;
36.96990272;13.0440471;32.48738121;15.43396887;
36.99085101;13.04471657;32.62732769;15.43735329;
36.99586374;13.05337229;32.62741127;15.44599999;
37.00969024;13.05468771;32.62752792;15.44698617;
37.01982453;13.06636208;32.65175888;15.44713532;
37.01989531;13.08279924;32.68568484;15.44871315;
37.0282756;13.09286669;32.68833396;15.44950204;
37.08386011;13.1031599;32.6885337;15.45390308;
37.10888892;13.11289845;32.68911096;15.45488656;
37.11309748;13.11659034;32.72505585;15.45834708;
37.12862765;13.11710396;32.72732962;15.45868441;
37.29063131;13.11751267;32.73012728;15.46640586;
37.32294321;13.11865421;32.73480073;15.47511084;
37.35693654;13.12182407;32.73633957;15.47822678;
37.40180008;13.12246128;32.73770951;15.49938208;
37.42360876;13.12277768;32.83132291;15.50706128;
37.74282077;13.12326259;32.83211042;15.50981468;
37.75324917;13.12493208;32.83219682;15.51231695;
37.86278218;13.126202;32.86467724;15.52709772;
37.91679764;13.12654387;32.86706529;15.5288829;
38.0570273;13.12706003;32.86818099;15.53932716;
38.07883663;13.1278896;32.86846485;15.54374235;
38.17582667;13.12858762;32.87127358;15.55179918;
38.46305521;13.12921664;32.88922508;15.55187332;
38.5113804;13.13007009;33.0510101;15.55655192;
38.63530408;13.13029264;33.05297837;15.55988439;
38.7376719;13.13029763;33.08686833;15.56048253;
38.80915818;13.13029974;33.31512922;15.56517831;
39.31020505;13.13052433;33.31525124;15.56628733;
39.44722978;13.1305447;33.33656351;15.57346275;
39.50580845;13.13137235;33.33801655;15.57576875;
39.86148867;13.13225688;33.33807293;15.58232146;
39.93473801;13.13226113;33.35978258;15.5844008;
39.96195709;13.13268724;33.3599278;15.58819682;
39.98850892;13.1327333;33.47090618;15.5906613;
40.03263332;13.13343149;33.59675943;15.59235017;
40.13761193;13.13348982;33.60081275;15.59360364;
40.17688611;13.13450901;33.77128871;15.59607417;
40.32778192;13.13585428;33.77144995;15.60070104;
40.39849103;13.13600485;33.77274306;15.6036709;
40.41666198;13.13668179;33.77366396;15.6051738;
40.48656539;13.13785667;33.78591524;15.60660727;
40.48687788;13.13804481;33.78963212;15.61030996;
40.49778472;13.13848525;33.82431509;15.61114258;
40.56167774;13.13880306;33.91642163;15.61138939;
40.63685313;13.13891695;33.91648495;15.61269374;
40.68799185;13.13985544;33.93536428;15.62029854;
40.69591693;13.14135157;33.93557393;15.62805971;
40.74541196;13.14163588;33.93850349;15.63226842;
40.75885197;13.14234743;33.93863958;15.63643264;
40.81578909;13.14729944;33.93956095;15.64220741;
40.81606426;13.15062365;33.93960117;15.6568291;
40.81606846;13.154958;33.9396306;15.66123177;
40.81613172;13.17174563;34.05261569;15.66208024;
40.81928736;13.17181944;34.05261819;15.66742668;
40.81993398;13.19859173;34.11651122;15.68121459;
40.81993817;13.20080473;34.1214694;15.68548388;
40.82433542;13.20521474;34.12335922;15.69520104;
40.84397718;13.22290647;34.12349713;15.69918428;
40.86954424;13.22555524;34.12384104;15.71004672;
40.86981833;13.22815444;34.15678467;15.71748587;
40.91746718;13.23400675;34.16256242;15.72291838;
40.92561774;13.23454871;34.16529943;15.72446396;
40.93453582;13.23559542;34.34495647;15.72761003;
40.94146592;13.24000106;34.35033229;15.73222285;
40.97651115;13.24138287;34.5093276;15.7330647;
41.00953047;13.24615411;34.50935105;15.7334502;
41.0829083;13.24698498;34.50948563;15.73366671;
41.09284977;13.24793609;34.50995317;15.73743493;
41.32445821;13.24814292;34.61354973;15.74599455;
41.4013004;13.24865283;34.61355557;15.74904589;
41.4370096;13.24934893;34.61621335;15.75084472;
41.5198917;13.25037989;34.64307867;15.75243924;
41.54935019;13.25094465;34.70073958;15.75278367;
41.70242361;13.25280991;34.73646317;15.75329588;
41.74987015;13.25319019;34.73649285;15.75367332;
41.80573785;13.25359921;34.73751145;15.7587851;
41.85820762;13.25409857;34.80937454;15.76282435;
41.99199594;13.25431433;34.83696898;15.76560952;
42.04958046;13.25545456;34.83705372;15.76637148;
42.14873999;13.25590835;34.83765231;15.76647074;
42.24235339;13.25607126;34.91472844;15.77728449;
42.30556754;13.25638084;35.12020206;15.77863642;
42.37453941;13.25711471;35.28005413;15.78240566;
42.70698648;13.25723742;35.28053918;15.78256487;
42.71600418;13.25879209;35.28080474;15.78882595;
42.95628895;13.25899548;35.30188567;15.79197804;
43.31169063;13.25979812;35.40402079;15.80167405;
43.32316546;13.26286421;35.40611808;15.80744552;
43.33671622;13.26303266;35.40650123;15.81354814;
43.38239186;13.26371478;35.46236893;15.81822426;
43.3925545;13.26478264;35.46990697;15.82061718;
